ReturnID,OrderItemID,OrderID,ProductID,SellerID,ReturnedQuantity,ReturnReason,ReturnDate,ReturnCost
109,1336,656,1643,134,1,Damaged,2024-08-16,233.5
110,1337,657,873,222,1,Poor Quality,2025-05-12,162.53
111,1350,663,1753,413,2,Changed Mind,2023-02-27,332.35
112,1380,674,3454,219,2,Poor Quality,2023-04-25,557.91
113,1446,705,3452,314,1,Not as Described,2023-06-20,235.12
114,1467,716,1097,248,1,Not as Described,2025-06-02,207.4
115,1516,748,1408,224,1,Damaged,2023-12-23,280.67
116,1517,748,2506,471,1,Not as Described,2024-01-01,170.65
117,1536,756,1196,20,1,Not as Described,2024-05-22,313.6
118,1544,760,2682,456,1,Wrong Item,2025-04-05,228.64
119,1565,770,3229,79,1,Poor Quality,2024-03-04,174.73
120,1573,774,708,164,1,Not as Described,2025-03-12,345.66
121,1577,775,1104,270,1,Damaged,2025-07-20,239.95
122,1597,785,676,397,1,Poor Quality,2024-06-22,217.19
123,1602,789,1957,345,1,Changed Mind,2024-08-29,322.7
124,1609,793,4644,225,1,Late Delivery,2025-03-11,340.69
125,1611,794,3941,354,1,Late Delivery,2025-07-12,134.54
126,1631,805,4697,13,1,Late Delivery,2025-04-11,125.13
127,1632,806,2689,333,2,Not as Described,2025-05-16,330.96
128,1638,808,1910,52,1,Poor Quality,2023-05-14,249.7
129,1649,814,607,55,1,Changed Mind,2023-11-25,134.83
130,1653,816,4715,113,1,Poor Quality,2025-07-09,300.78
131,1654,816,525,296,1,Late Delivery,2025-07-09,224.2
132,1681,832,4420,158,1,Wrong Item,2023-10-06,168.6
133,1697,841,1566,211,1,Poor Quality,2023-12-07,137.09
134,1728,858,3038,31,2,Not as Described,2023-03-14,634.31
135,1747,870,987,178,1,Changed Mind,2023-03-04,301.11
136,1751,871,1057,25,1,Changed Mind,2024-06-12,340.81
137,1753,871,2324,72,1,Poor Quality,2024-05-25,192.84
138,1760,873,1331,108,1,Wrong Item,2023-05-19,216.34
139,1778,884,4327,165,1,Changed Mind,2023-06-24,231.72
140,1780,885,684,270,1,Damaged,2025-07-04,293.93
141,1791,892,1254,469,1,Damaged,2025-03-10,321.87
142,1792,893,3157,478,1,Poor Quality,2024-07-30,294.94
143,1841,915,1813,109,1,Wrong Item,2024-10-22,276.93
144,1853,921,225,458,1,Changed Mind,2025-09-04,163.69
145,1879,934,1029,185,1,Not as Described,2024-12-16,99.11
146,1884,937,1809,289,1,Damaged,2023-07-15,203.2
147,1898,944,4030,230,1,Not as Described,2024-06-15,208.38
148,1900,945,1212,37,1,Not as Described,2023-06-17,255.47
149,1909,949,1295,12,1,Poor Quality,2025-11-11,342.88
150,1921,954,1393,48,1,Damaged,2024-04-28,118.34
151,1949,969,3522,33,1,Wrong Item,2025-10-20,138.87
152,1953,970,1256,212,1,Damaged,2023-02-27,153.48
153,1958,971,3041,144,1,Late Delivery,2023-11-29,103.56
154,1970,977,3021,294,1,Damaged,2023-05-08,318.09
155,1986,986,3723,361,1,Poor Quality,2025-01-06,248.82
156,1997,991,4851,62,1,Poor Quality,2024-02-07,337.87
157,2002,993,1363,144,1,Changed Mind,2023-08-12,270.8
158,2009,997,3722,28,3,Not as Described,2024-08-04,983.61
159,2029,1008,2856,411,1,Poor Quality,2024-07-19,335.44
160,2030,1008,1548,226,1,Late Delivery,2024-07-25,215.8
161,2056,1020,4782,199,1,Wrong Item,2023-05-22,203.53
162,2063,1024,3975,197,1,Wrong Item,2025-08-03,249.81
163,2065,1025,645,10,1,Poor Quality,2025-06-28,223.9
164,2082,1034,1857,337,1,Poor Quality,2023-12-30,286.54
165,2093,1040,2193,97,1,Changed Mind,2025-07-07,172.81
166,2124,1058,3045,290,1,Poor Quality,2025-05-13,207.09
167,2127,1059,3336,111,1,Wrong Item,2024-04-15,148.92
168,2130,1060,3517,313,1,Poor Quality,2023-12-18,146.6
169,2138,1064,1749,123,1,Poor Quality,2025-02-18,183.66
170,2152,1070,123,493,1,Damaged,2023-01-21,241.84
171,2162,1073,2051,240,1,Wrong Item,2025-05-06,185.0
172,2194,1088,85,95,1,Damaged,2025-12-25,290.77
173,2198,1091,3069,316,1,Poor Quality,2024-07-21,129.14
174,2206,1094,876,412,3,Wrong Item,2024-04-04,778.16
175,2221,1100,1119,329,1,Poor Quality,2024-05-18,341.43
176,2241,1107,2264,268,1,Wrong Item,2023-10-06,264.0
177,2242,1108,4423,170,1,Poor Quality,2025-10-11,103.53
178,2246,1110,876,412,1,Damaged,2023-03-08,227.72
179,2292,1132,2017,480,1,Wrong Item,2025-01-08,115.6
180,2300,1136,1898,133,1,Changed Mind,2023-03-13,91.68
181,2306,1138,136,161,1,Wrong Item,2024-02-28,116.12
182,2321,1145,2181,27,1,Changed Mind,2024-01-15,249.73
183,2324,1146,2863,206,1,Poor Quality,2024-07-01,182.32
184,2345,1157,2380,48,1,Late Delivery,2023-05-31,133.04
185,2358,1164,4069,405,1,Damaged,2024-08-24,281.44
186,2366,1169,1697,399,1,Late Delivery,2026-01-14,143.95
187,2379,1174,4317,218,1,Changed Mind,2023-07-17,197.44
188,2381,1175,975,188,1,Damaged,2023-02-07,149.93
189,2392,1180,2120,254,1,Poor Quality,2023-02-12,299.93
190,2428,1201,3425,54,1,Late Delivery,2025-09-04,337.11
191,2432,1203,4578,57,1,Not as Described,2025-12-27,338.4
192,2436,1205,4333,228,2,Damaged,2024-12-21,565.32
193,2501,1238,2195,104,1,Damaged,2023-05-27,207.72
194,2513,1244,2841,58,1,Late Delivery,2024-07-04,219.13
195,2522,1249,3280,22,2,Late Delivery,2024-01-12,364.61
196,2536,1256,443,388,1,Damaged,2023-04-26,294.38
197,2542,1258,3219,79,1,Late Delivery,2024-09-04,144.45
198,2557,1267,2958,312,1,Late Delivery,2023-03-15,299.67
199,2567,1270,76,296,2,Wrong Item,2023-03-02,206.85
200,2573,1273,3379,104,1,Late Delivery,2025-11-12,119.84
201,2586,1278,1,97,1,Late Delivery,2025-05-10,233.09
202,2597,1286,4704,230,1,Damaged,2023-03-02,306.47
203,2614,1293,2028,215,1,Late Delivery,2024-05-13,102.51
204,2621,1299,979,247,1,Wrong Item,2024-08-11,116.87
205,2629,1303,3657,354,1,Damaged,2025-03-05,271.73
206,2641,1311,4626,138,1,Late Delivery,2024-08-04,237.05
207,2663,1319,742,492,1,Not as Described,2024-05-30,85.16
208,2680,1328,1820,451,1,Late Delivery,2023-04-19,204.67
209,2686,1333,243,202,1,Poor Quality,2024-04-24,123.28
210,2702,1342,2766,442,1,Poor Quality,2023-06-08,300.41
211,2739,1361,4326,398,1,Late Delivery,2023-04-12,186.74
212,2742,1363,4227,75,1,Late Delivery,2024-01-27,222.15
213,2745,1363,3700,128,1,Not as Described,2024-02-14,260.04
214,2762,1372,33,480,1,Poor Quality,2024-01-23,125.42
215,2792,1383,3445,388,1,Late Delivery,2024-02-11,281.36
216,2802,1388,51,400,1,Not as Described,2024-01-02,269.56
217,2818,1397,230,340,3,Damaged,2024-11-30,568.22
218,2819,1398,2317,360,1,Changed Mind,2025-01-11,240.6
219,2821,1399,4276,125,1,Poor Quality,2023-02-10,142.33
220,2839,1409,3850,257,1,Wrong Item,2023-01-16,236.62
221,2844,1411,247,317,1,Damaged,2023-03-21,219.16
222,2851,1415,1785,40,1,Poor Quality,2024-10-29,110.7
223,2863,1418,2001,387,1,Changed Mind,2024-05-24,239.92
224,2865,1419,1855,180,1,Late Delivery,2025-08-25,128.09
225,2867,1420,2008,417,1,Damaged,2024-06-12,153.02
226,2881,1425,544,281,1,Changed Mind,2023-11-02,248.33
227,2884,1427,3341,92,2,Not as Described,2025-01-26,194.19
228,2893,1430,194,54,1,Changed Mind,2025-05-31,308.8
229,2916,1443,3857,216,1,Not as Described,2025-11-09,264.76
230,2934,1451,1708,19,1,Not as Described,2023-12-06,219.74
231,2962,1464,1801,458,1,Poor Quality,2023-03-26,268.9
232,2966,1466,368,64,1,Poor Quality,2023-05-23,161.59
233,2979,1471,4162,324,1,Poor Quality,2025-09-19,273.86
234,2992,1478,3741,78,1,Late Delivery,2024-03-10,210.57
235,2993,1479,2344,4,1,Poor Quality,2023-09-15,132.91
236,2994,1480,1841,374,1,Poor Quality,2024-04-24,127.66
237,3006,1486,4309,215,1,Not as Described,2025-08-19,211.6
238,3014,1490,314,288,2,Late Delivery,2024-08-01,449.19
239,3018,1492,2668,445,1,Poor Quality,2024-07-01,135.06
240,3023,1494,655,220,1,Late Delivery,2024-01-05,274.22
241,3058,1515,3642,374,1,Wrong Item,2023-10-19,328.65
242,3065,1518,3901,81,1,Not as Described,2023-03-21,147.65
243,3066,1519,1226,471,1,Damaged,2024-07-10,222.58
244,3067,1519,2342,181,1,Not as Described,2024-07-13,315.97
245,3086,1530,3620,26,1,Wrong Item,2025-10-30,269.76
246,3107,1539,4372,268,1,Changed Mind,2025-03-05,287.71
247,3144,1555,2028,215,1,Poor Quality,2024-05-24,228.37
248,3145,1555,638,495,1,Changed Mind,2024-05-25,120.78
249,3146,1556,563,276,1,Wrong Item,2023-07-15,283.2
250,3151,1559,4182,55,2,Damaged,2026-01-15,250.03
251,3158,1563,3749,333,1,Damaged,2023-10-23,136.64
252,3159,1564,3062,252,1,Poor Quality,2025-10-15,234.83
253,3160,1564,912,109,1,Late Delivery,2025-10-08,132.55
254,3175,1570,987,178,1,Damaged,2026-01-13,329.43
255,3194,1579,1931,172,1,Poor Quality,2023-05-13,242.54
256,3209,1585,3697,462,1,Late Delivery,2024-12-04,274.84
257,3224,1591,3895,238,1,Not as Described,2025-04-02,327.21
258,3240,1601,3777,276,1,Wrong Item,2023-12-22,349.42
259,3261,1614,4366,406,1,Not as Described,2025-02-12,256.72
260,3287,1630,3074,302,1,Wrong Item,2023-06-07,341.41
261,3290,1632,3543,269,1,Not as Described,2025-09-30,165.91
262,3294,1635,970,11,1,Damaged,2024-04-10,222.5
263,3300,1638,1761,440,1,Late Delivery,2024-11-30,216.44
264,3321,1647,2973,324,1,Poor Quality,2024-01-29,136.27
265,3331,1651,3694,401,1,Damaged,2023-08-20,264.39
266,3365,1671,2340,295,1,Not as Described,2025-05-05,229.71
267,3366,1672,3108,329,1,Not as Described,2024-09-27,246.68
268,3370,1674,123,493,1,Damaged,2025-04-15,336.74
269,3372,1676,1992,230,1,Poor Quality,2025-12-26,332.61
270,3382,1681,224,391,1,Poor Quality,2025-11-18,310.34
271,3390,1685,1006,246,1,Not as Described,2024-02-23,273.61
272,3400,1691,1675,271,1,Poor Quality,2025-05-22,118.57
273,3402,1692,2953,300,1,Late Delivery,2025-09-21,113.42
274,3429,1706,3506,498,1,Late Delivery,2025-08-16,208.47
275,3456,1719,2124,464,1,Damaged,2024-04-22,324.24
276,3464,1724,78,265,1,Poor Quality,2025-03-27,247.17
277,3468,1725,466,336,1,Not as Described,2024-08-27,133.8
278,3472,1728,697,257,1,Changed Mind,2024-10-03,315.6
279,3506,1741,1166,49,1,Damaged,2024-05-12,132.67
280,3508,1742,1029,185,1,Not as Described,2025-04-20,148.03
281,3511,1744,3080,288,1,Not as Described,2023-02-03,195.44
282,3525,1752,1676,439,1,Late Delivery,2025-09-09,141.67
283,3535,1756,537,136,1,Changed Mind,2023-12-29,298.66
284,3542,1759,520,269,1,Not as Described,2024-10-13,318.41
285,3551,1763,3925,399,3,Wrong Item,2023-01-26,679.54
286,3581,1774,4562,437,1,Poor Quality,2024-03-10,319.96
287,3609,1790,1049,130,1,Changed Mind,2025-04-18,313.57
288,3627,1803,4499,97,1,Late Delivery,2024-05-20,327.95
289,3663,1819,3819,54,1,Damaged,2023-06-21,234.14
290,3666,1821,1063,58,1,Poor Quality,2024-01-01,224.24
291,3680,1830,1917,165,1,Poor Quality,2025-12-17,139.6
292,3684,1832,1381,23,1,Wrong Item,2025-12-01,167.51
293,3704,1843,2919,221,1,Poor Quality,2025-07-04,339.66
294,3724,1853,4647,34,1,Not as Described,2024-06-08,252.48
295,3734,1859,4473,8,1,Poor Quality,2024-08-18,224.43
296,3769,1877,1797,500,1,Changed Mind,2023-10-01,101.24
297,3784,1883,2207,215,1,Wrong Item,2023-07-27,344.7
298,3787,1884,3754,193,1,Damaged,2025-08-03,277.45
299,3807,1893,162,4,1,Changed Mind,2025-09-12,93.52
300,3812,1896,757,433,1,Not as Described,2025-08-10,133.88
301,3829,1908,1701,418,3,Poor Quality,2023-07-22,422.38
302,3834,1911,3219,79,1,Damaged,2023-04-01,349.42
303,3835,1911,2483,387,1,Poor Quality,2023-04-18,189.13
304,3840,1914,319,456,1,Wrong Item,2025-05-14,198.46
305,3844,1915,4271,340,2,Poor Quality,2024-01-12,686.63
306,3871,1928,4423,170,1,Changed Mind,2023-06-07,190.86
307,3883,1931,1649,163,1,Damaged,2023-05-01,208.62
308,3889,1934,3054,53,1,Changed Mind,2025-11-14,334.51
309,3892,1935,4634,86,1,Poor Quality,2023-06-21,123.0
310,3898,1938,4302,112,1,Late Delivery,2024-09-28,203.1
311,3906,1940,1750,134,1,Wrong Item,2023-08-29,242.33
312,3914,1943,2886,312,2,Poor Quality,2025-08-21,692.93
313,3931,1951,2177,464,1,Poor Quality,2025-10-07,324.15
314,3956,1963,370,282,2,Changed Mind,2023-06-23,328.77
315,3963,1966,1877,170,1,Changed Mind,2025-04-02,84.94
316,3979,1976,843,223,1,Poor Quality,2023-03-03,165.35
317,3983,1978,4497,146,2,Poor Quality,2024-01-23,168.02
318,4006,1985,1563,486,1,Wrong Item,2024-12-08,236.32
319,4023,1991,4630,138,1,Late Delivery,2024-08-13,163.06
320,4024,1992,753,144,1,Not as Described,2024-05-01,194.77
321,4029,1995,3420,462,1,Late Delivery,2025-04-16,272.64
322,4035,1999,3674,289,1,Not as Described,2023-11-23,291.88
323,4036,2000,2245,440,1,Poor Quality,2023-11-26,250.85
324,4065,2016,3434,88,1,Not as Described,2023-12-28,216.42
325,4089,2030,1662,18,1,Poor Quality,2024-02-07,306.02
326,4092,2030,204,188,1,Late Delivery,2024-01-21,210.32
327,4099,2033,1606,362,1,Not as Described,2023-04-14,214.57
328,4114,2042,2084,400,1,Poor Quality,2025-09-22,149.73
329,4118,2044,504,156,1,Poor Quality,2025-04-21,106.34
330,4123,2049,1827,449,1,Poor Quality,2025-04-14,345.17
331,4129,2051,3855,110,1,Late Delivery,2023-07-30,313.71
332,4148,2065,4252,399,1,Changed Mind,2024-10-24,319.01
333,4152,2067,3906,423,1,Late Delivery,2025-03-19,135.45
334,4166,2073,2540,333,1,Late Delivery,2024-04-03,173.22
335,4181,2081,534,261,1,Poor Quality,2025-07-22,234.11
336,4204,2094,4282,230,1,Damaged,2023-08-09,345.63
337,4211,2097,4265,171,1,Wrong Item,2025-11-18,191.76
338,4223,2103,1542,110,1,Late Delivery,2023-08-04,114.07
339,4226,2103,4807,198,2,Late Delivery,2023-07-27,177.34
340,4228,2104,1301,487,1,Poor Quality,2023-06-11,332.49
341,4239,2112,2828,284,1,Wrong Item,2025-01-26,183.53
342,4242,2114,1635,369,1,Damaged,2025-10-02,285.97
343,4245,2115,273,269,1,Late Delivery,2025-04-11,243.63
344,4258,2122,806,80,1,Damaged,2025-11-17,151.63
345,4269,2127,4683,93,1,Damaged,2023-12-11,307.12
346,4280,2133,4053,111,1,Changed Mind,2024-08-16,251.65
347,4283,2133,2155,483,1,Not as Described,2024-08-18,234.57
348,4289,2135,4647,34,2,Wrong Item,2024-05-05,165.87
349,4296,2138,386,223,1,Changed Mind,2023-01-29,163.01
350,4298,2138,4798,432,3,Wrong Item,2023-01-29,827.2
351,4303,2141,861,47,3,Changed Mind,2025-02-19,670.58
352,4306,2142,3822,77,1,Not as Described,2025-09-01,158.25
353,4313,2146,3685,121,1,Wrong Item,2024-05-07,181.91
354,4315,2147,1868,26,1,Changed Mind,2023-08-02,136.23
355,4317,2149,4282,230,1,Poor Quality,2025-08-11,173.59
356,4345,2161,3692,73,1,Poor Quality,2025-06-16,298.0
357,4376,2176,3773,119,1,Wrong Item,2025-04-29,309.98
358,4377,2176,1089,463,1,Changed Mind,2025-04-23,256.54
359,4378,2176,2266,101,1,Not as Described,2025-04-19,271.04
360,4389,2181,4040,329,1,Damaged,2025-02-10,167.6
361,4395,2183,4801,73,3,Not as Described,2024-11-17,1015.07
362,4476,2223,2108,205,1,Late Delivery,2023-02-23,300.96
363,4490,2230,2368,408,1,Late Delivery,2025-12-18,332.45
364,4497,2234,2974,440,1,Poor Quality,2023-06-23,276.65
365,4507,2237,594,400,1,Not as Described,2023-10-26,274.79
366,4529,2249,4711,356,1,Poor Quality,2023-06-26,263.45
367,4613,2297,3178,133,1,Not as Described,2023-07-25,274.69
368,4656,2318,2800,33,1,Changed Mind,2024-05-12,325.8
369,4657,2319,3838,83,1,Damaged,2025-07-26,275.46
370,4733,2361,779,163,1,Poor Quality,2024-12-17,236.18
371,4745,2367,225,458,1,Late Delivery,2024-01-12,216.72
372,4756,2375,4930,127,1,Changed Mind,2025-02-08,130.64
373,4778,2384,4318,395,1,Not as Described,2024-04-04,266.92
374,4790,2391,2147,156,1,Damaged,2024-05-16,130.97
375,4793,2392,1345,212,1,Damaged,2023-08-13,265.8
376,4814,2403,3260,91,1,Poor Quality,2025-04-17,102.3
377,4877,2433,876,412,1,Damaged,2023-07-20,159.86
378,4879,2433,2258,392,1,Wrong Item,2023-07-14,283.26
379,4896,2439,2511,368,1,Not as Described,2025-07-25,293.87
380,4911,2446,3344,364,1,Wrong Item,2025-09-13,287.54
381,4928,2454,2072,7,1,Damaged,2024-06-03,170.38
382,4968,2473,568,474,3,Damaged,2024-04-23,771.78
383,4975,2475,3635,30,1,Changed Mind,2023-05-14,131.26
384,4976,2476,3381,174,1,Poor Quality,2024-04-20,247.58
385,4983,2481,1779,223,1,Poor Quality,2025-01-02,159.65
386,5001,2490,704,419,1,Poor Quality,2024-02-21,241.51
387,5018,2498,4627,60,1,Changed Mind,2025-09-09,347.06
388,5020,2500,4271,340,2,Changed Mind,2025-10-28,190.16
389,5033,2509,1979,485,1,Not as Described,2024-03-27,191.35
390,5037,2510,829,249,1,Late Delivery,2023-06-05,310.96
391,5040,2512,4147,492,1,Late Delivery,2025-08-10,189.49
392,5046,2515,4030,230,1,Poor Quality,2023-05-04,280.37
393,5050,2518,4836,194,1,Not as Described,2024-08-26,201.26
394,5058,2524,436,477,1,Wrong Item,2024-03-18,123.49
395,5069,2531,3228,337,1,Wrong Item,2025-10-25,142.52
396,5072,2533,4112,270,1,Poor Quality,2025-10-27,194.46
397,5077,2535,638,495,2,Poor Quality,2025-06-18,281.03
398,5114,2555,4105,1,1,Not as Described,2025-12-22,217.06
399,5130,2564,4623,302,1,Wrong Item,2024-04-03,172.72
400,5131,2564,3721,273,1,Wrong Item,2024-03-29,313.85
401,5163,2578,1128,76,1,Not as Described,2024-06-06,278.0
402,5164,2579,2140,486,1,Late Delivery,2025-12-15,228.95
403,5165,2579,1359,317,2,Damaged,2025-12-06,575.91
404,5169,2580,534,261,1,Wrong Item,2024-09-27,316.74
405,5182,2585,3748,150,1,Poor Quality,2024-02-14,268.26
406,5187,2587,3553,170,1,Not as Described,2024-03-02,324.75
407,5199,2592,2405,476,1,Late Delivery,2024-02-25,327.37
408,5206,2594,1352,127,1,Late Delivery,2023-05-09,254.89
409,5211,2599,3311,445,1,Poor Quality,2025-12-11,190.82
410,5222,2606,3240,146,1,Poor Quality,2025-05-03,125.34
411,5232,2611,4970,405,1,Changed Mind,2025-12-07,207.34
412,5241,2616,1888,147,1,Not as Described,2025-01-23,264.91
413,5254,2624,4954,483,1,Not as Described,2025-10-22,137.04
414,5257,2626,3279,110,1,Late Delivery,2024-10-17,152.91
415,5272,2634,451,468,1,Changed Mind,2024-09-14,342.53
416,5274,2635,1298,455,1,Poor Quality,2023-04-28,295.43
417,5282,2638,57,44,1,Late Delivery,2025-04-15,254.08
418,5287,2641,1355,491,1,Wrong Item,2023-10-05,347.7
419,5305,2650,2817,446,1,Not as Described,2024-01-24,205.62
420,5306,2651,1350,89,1,Changed Mind,2025-09-06,248.93
421,5334,2665,1551,199,2,Changed Mind,2023-09-18,335.58
422,5348,2672,2537,133,1,Not as Described,2025-08-07,226.48
423,5351,2674,1257,187,2,Wrong Item,2023-08-04,276.45
424,5358,2677,1896,113,1,Late Delivery,2025-12-18,111.1
425,5363,2680,4113,399,1,Late Delivery,2024-03-04,175.43
426,5406,2703,3724,193,1,Changed Mind,2023-09-05,271.03
427,5412,2705,2561,352,1,Not as Described,2023-03-27,337.3
428,5414,2706,1859,345,1,Late Delivery,2023-11-16,280.67
429,5443,2724,4462,446,1,Not as Described,2024-03-10,345.39
430,5444,2725,1978,157,1,Poor Quality,2025-06-06,316.05
431,5468,2738,1577,67,1,Wrong Item,2023-08-14,251.25
432,5473,2739,2197,152,1,Poor Quality,2024-06-27,116.67
433,5484,2747,1340,443,1,Not as Described,2023-09-27,244.28
434,5489,2749,2842,274,1,Not as Described,2024-04-03,330.32
435,5506,2756,4921,271,1,Poor Quality,2025-08-20,215.75
