ShipmentID,OrderID,CourierID,WarehouseID,ExpectedDeliveryDays,LateProbability,FailedProbability,BaseShippingCost,ShippingCost,OrderDate,ExpectedDeliveryDate,DeliveryDate,DeliveryStatus
19,19,8,13,6.0,0.32,0.09,300,255.05,2025-07-09,2025-07-15,2025-07-21,Late
20,20,2,14,3.2,0.12,0.03,220,190.13,2024-05-08,2024-05-12,2024-05-14,On Time
21,21,3,3,4.8,0.24,0.07,260,278.09,2024-07-02,2024-07-07,2024-07-14,Late
22,22,10,12,4.0,0.18,0.05,250,247.69,2024-02-11,2024-02-15,2024-02-17,On Time
23,23,4,2,2.8,0.1,0.03,200,229.08,2023-07-20,2023-07-23,2023-07-23,On Time
24,24,7,7,3.5,0.14,0.04,210,228.57,2025-10-12,2025-10-16,2025-10-18,On Time
25,25,4,12,2.8,0.1,0.03,200,222.91,2025-05-06,2025-05-09,2025-05-11,On Time
26,26,9,9,3.0,0.09,0.025,190,179.29,2024-12-06,2024-12-09,2024-12-10,On Time
27,27,4,3,2.8,0.1,0.03,200,174.97,2024-03-17,2024-03-20,2024-03-21,On Time
28,28,10,4,4.0,0.18,0.05,250,285.37,2025-06-20,2025-06-24,2025-06-26,On Time
29,29,3,12,4.8,0.24,0.07,260,309.63,2024-08-20,2024-08-25,2024-08-25,On Time
30,30,2,11,3.2,0.12,0.03,220,251.73,2024-04-30,2024-05-04,2024-05-06,On Time
31,31,2,14,3.2,0.12,0.03,220,194.46,2024-05-08,2024-05-12,2024-05-13,On Time
32,32,2,12,3.2,0.12,0.03,220,242.11,2023-09-07,2023-09-11,2023-09-13,On Time
33,33,4,5,2.8,0.1,0.03,200,175.85,2023-04-11,2023-04-14,2023-04-20,Late
34,34,4,5,2.8,0.1,0.03,200,249.22,2024-08-30,2024-09-02,2024-09-04,On Time
35,35,6,10,2.2,0.06,0.015,240,261.08,2025-08-31,2025-09-03,2025-09-04,On Time
36,36,9,2,3.0,0.09,0.025,190,225.16,2023-03-11,2023-03-14,2023-03-14,On Time
37,37,6,6,2.2,0.06,0.015,240,274.97,2025-07-29,2025-08-01,2025-08-03,On Time
38,38,8,10,6.0,0.32,0.09,300,339.72,2025-06-26,2025-07-02,2025-07-10,Late
39,39,5,3,5.2,0.28,0.08,280,293.58,2023-10-31,2023-11-06,2023-11-10,Late
40,40,6,7,2.2,0.06,0.015,240,285.49,2024-11-23,2024-11-26,2024-11-28,On Time
41,41,5,4,5.2,0.28,0.08,280,322.5,2023-07-01,2023-07-07,2023-07-14,Late
42,42,2,5,3.2,0.12,0.03,220,223.33,2025-04-10,2025-04-14,2025-04-14,On Time
43,43,7,13,3.5,0.14,0.04,210,196.13,2025-02-06,2025-02-10,2025-02-10,On Time
44,44,7,5,3.5,0.14,0.04,210,193.7,2024-01-24,2024-01-28,2024-01-28,On Time
45,45,1,3,2.5,0.08,0.02,180,188.78,2023-03-16,2023-03-19,2023-03-20,On Time
46,46,9,13,3.0,0.09,0.025,190,195.14,2025-11-29,2025-12-02,2025-12-04,On Time
47,47,10,5,4.0,0.18,0.05,250,283.48,2024-05-03,2024-05-07,2024-05-08,On Time
48,48,6,4,2.2,0.06,0.015,240,277.45,2025-09-05,2025-09-08,2025-09-09,On Time
49,49,2,13,3.2,0.12,0.03,220,235.29,2025-01-12,2025-01-16,2025-01-16,On Time
50,50,2,1,3.2,0.12,0.03,220,269.96,2025-05-03,2025-05-07,2025-05-07,On Time
51,51,7,4,3.5,0.14,0.04,210,226.0,2025-04-12,2025-04-16,,Failed
52,52,6,3,2.2,0.06,0.015,240,289.05,2023-08-02,2023-08-05,2023-08-06,On Time
53,53,8,2,6.0,0.32,0.09,300,260.98,2024-02-03,2024-02-09,,Failed
54,54,1,15,2.5,0.08,0.02,180,199.72,2024-05-26,2024-05-29,,Failed
55,55,4,7,2.8,0.1,0.03,200,212.71,2024-06-29,2024-07-02,2024-07-04,On Time
56,56,10,10,4.0,0.18,0.05,250,268.12,2023-02-18,2023-02-22,2023-02-24,On Time
57,57,2,5,3.2,0.12,0.03,220,270.6,2024-08-22,2024-08-26,2024-08-27,On Time
58,58,6,11,2.2,0.06,0.015,240,283.23,2023-06-19,2023-06-22,2023-06-23,On Time
59,59,3,10,4.8,0.24,0.07,260,306.74,2025-03-25,2025-03-30,2025-04-05,Late
60,60,10,5,4.0,0.18,0.05,250,262.28,2025-01-18,2025-01-22,2025-01-24,On Time
61,61,10,1,4.0,0.18,0.05,250,296.86,2025-10-08,2025-10-12,2025-10-15,Late
62,62,7,13,3.5,0.14,0.04,210,235.24,2025-03-27,2025-03-31,2025-03-31,On Time
63,63,7,2,3.5,0.14,0.04,210,250.04,2024-02-06,2024-02-10,2024-02-10,On Time
64,64,4,10,2.8,0.1,0.03,200,193.46,2025-11-26,2025-11-29,2025-12-01,On Time
65,65,1,15,2.5,0.08,0.02,180,187.57,2024-03-26,2024-03-29,2024-03-31,On Time
66,66,1,5,2.5,0.08,0.02,180,199.1,2023-12-24,2023-12-27,2023-12-29,On Time
67,67,5,10,5.2,0.28,0.08,280,283.67,2025-09-19,2025-09-25,2025-09-26,On Time
68,68,4,14,2.8,0.1,0.03,200,178.8,2024-02-11,2024-02-14,2024-02-14,On Time
69,69,5,14,5.2,0.28,0.08,280,340.48,2023-03-25,2023-03-31,2023-04-03,Late
70,70,3,1,4.8,0.24,0.07,260,241.37,2024-05-29,2024-06-03,2024-06-05,On Time
71,71,1,8,2.5,0.08,0.02,180,193.65,2025-05-22,2025-05-25,2025-05-25,On Time
72,72,2,13,3.2,0.12,0.03,220,190.6,2023-07-27,2023-07-31,2023-07-31,On Time
73,73,7,11,3.5,0.14,0.04,210,206.59,2024-05-22,2024-05-26,2024-05-28,On Time
74,74,8,10,6.0,0.32,0.09,300,343.43,2023-05-23,2023-05-29,2023-06-04,Late
75,75,10,12,4.0,0.18,0.05,250,297.94,2025-01-22,2025-01-26,2025-01-26,On Time
76,76,10,8,4.0,0.18,0.05,250,291.86,2024-06-05,2024-06-09,2024-06-11,On Time
77,77,2,12,3.2,0.12,0.03,220,254.54,2023-12-28,2024-01-01,2024-01-02,On Time
78,78,9,4,3.0,0.09,0.025,190,168.3,2023-09-06,2023-09-09,2023-09-10,On Time
79,79,8,15,6.0,0.32,0.09,300,293.63,2024-09-10,2024-09-16,2024-09-21,Late
80,80,6,11,2.2,0.06,0.015,240,206.35,2025-01-04,2025-01-07,2025-01-07,On Time
81,81,3,2,4.8,0.24,0.07,260,268.55,2025-10-27,2025-11-01,2025-11-02,On Time
82,82,10,15,4.0,0.18,0.05,250,254.0,2024-04-24,2024-04-28,2024-04-29,On Time
83,83,1,14,2.5,0.08,0.02,180,179.71,2023-06-26,2023-06-29,2023-06-30,On Time
84,84,1,12,2.5,0.08,0.02,180,157.13,2025-07-01,2025-07-04,2025-07-07,Late
85,85,10,2,4.0,0.18,0.05,250,219.63,2024-11-21,2024-11-25,2024-11-26,On Time
86,86,1,10,2.5,0.08,0.02,180,153.16,2025-02-06,2025-02-09,2025-02-09,On Time
87,87,1,10,2.5,0.08,0.02,180,203.93,2023-04-17,2023-04-20,2023-04-22,On Time
88,88,6,10,2.2,0.06,0.015,240,222.97,2023-12-09,2023-12-12,2023-12-13,On Time
89,89,4,10,2.8,0.1,0.03,200,231.48,2025-04-21,2025-04-24,2025-04-24,On Time
90,90,9,5,3.0,0.09,0.025,190,196.35,2025-07-01,2025-07-04,2025-07-08,Late
91,91,5,11,5.2,0.28,0.08,280,338.18,2024-04-21,2024-04-27,2024-04-27,On Time
92,92,5,4,5.2,0.28,0.08,280,326.19,2025-06-01,2025-06-07,2025-06-07,On Time
93,93,4,2,2.8,0.1,0.03,200,239.49,2025-07-11,2025-07-14,2025-07-14,On Time
94,94,4,8,2.8,0.1,0.03,200,195.32,2024-02-29,2024-03-03,2024-03-03,On Time
95,95,9,13,3.0,0.09,0.025,190,217.55,2025-09-11,2025-09-14,2025-09-14,On Time
96,96,4,4,2.8,0.1,0.03,200,180.0,2023-11-13,2023-11-16,2023-11-18,On Time
97,97,3,10,4.8,0.24,0.07,260,276.77,2023-09-20,2023-09-25,2023-09-26,On Time
98,98,3,6,4.8,0.24,0.07,260,257.54,2025-01-18,2025-01-23,2025-01-25,On Time
99,99,6,8,2.2,0.06,0.015,240,267.66,2024-11-28,2024-12-01,2024-12-02,On Time
100,100,6,7,2.2,0.06,0.015,240,226.52,2023-06-03,2023-06-06,2023-06-07,On Time
101,101,10,13,4.0,0.18,0.05,250,244.79,2025-07-01,2025-07-05,2025-07-07,Late
102,102,6,12,2.2,0.06,0.015,240,260.35,2023-08-08,2023-08-11,2023-08-13,On Time
103,103,2,10,3.2,0.12,0.03,220,190.69,2025-06-01,2025-06-05,2025-06-11,Late
104,104,4,4,2.8,0.1,0.03,200,222.7,2023-01-09,2023-01-12,2023-01-14,On Time
105,105,6,12,2.2,0.06,0.015,240,222.32,2025-05-23,2025-05-26,2025-05-28,On Time
106,106,10,8,4.0,0.18,0.05,250,299.37,2025-05-12,2025-05-16,2025-05-18,On Time
107,107,8,10,6.0,0.32,0.09,300,357.72,2025-05-05,2025-05-11,2025-05-13,On Time
108,108,2,8,3.2,0.12,0.03,220,218.23,2024-12-29,2025-01-02,2025-01-03,On Time
109,109,4,4,2.8,0.1,0.03,200,219.99,2024-05-31,2024-06-03,2024-06-03,On Time
110,110,5,5,5.2,0.28,0.08,280,320.93,2025-02-11,2025-02-17,2025-02-21,Late
111,111,10,5,4.0,0.18,0.05,250,240.89,2023-10-31,2023-11-04,2023-11-06,On Time
112,112,4,10,2.8,0.1,0.03,200,220.04,2025-05-05,2025-05-08,2025-05-08,On Time
113,113,5,2,5.2,0.28,0.08,280,274.54,2024-08-31,2024-09-06,2024-09-07,On Time
114,114,10,1,4.0,0.18,0.05,250,220.51,2024-05-17,2024-05-21,2024-05-22,On Time
115,115,10,10,4.0,0.18,0.05,250,260.72,2024-07-08,2024-07-12,2024-07-14,On Time
116,116,1,8,2.5,0.08,0.02,180,220.85,2024-09-15,2024-09-18,2024-09-20,On Time
117,117,8,1,6.0,0.32,0.09,300,356.15,2023-02-10,2023-02-16,2023-02-16,On Time
118,118,10,3,4.0,0.18,0.05,250,248.12,2023-06-03,2023-06-07,,Failed
119,119,8,1,6.0,0.32,0.09,300,342.86,2023-09-27,2023-10-03,2023-10-04,On Time
120,120,3,9,4.8,0.24,0.07,260,241.88,2023-05-06,2023-05-11,2023-05-12,On Time
121,121,3,1,4.8,0.24,0.07,260,283.93,2024-04-26,2024-05-01,2024-05-01,On Time
122,122,10,6,4.0,0.18,0.05,250,291.33,2025-01-02,2025-01-06,,Failed
123,123,10,3,4.0,0.18,0.05,250,261.8,2024-12-18,2024-12-22,2024-12-24,On Time
124,124,4,10,2.8,0.1,0.03,200,249.45,2024-05-31,2024-06-03,2024-06-03,On Time
125,125,1,10,2.5,0.08,0.02,180,191.62,2025-07-26,2025-07-29,2025-07-30,On Time
126,126,7,7,3.5,0.14,0.04,210,229.71,2024-09-11,2024-09-15,2024-09-17,On Time
127,127,5,9,5.2,0.28,0.08,280,294.01,2023-03-28,2023-04-03,2023-04-07,Late
128,128,5,13,5.2,0.28,0.08,280,333.17,2025-04-18,2025-04-24,2025-04-28,Late
129,129,4,9,2.8,0.1,0.03,200,207.8,2024-09-21,2024-09-24,2024-09-25,On Time
130,130,1,15,2.5,0.08,0.02,180,166.41,2024-11-26,2024-11-29,2024-11-30,On Time
131,131,6,11,2.2,0.06,0.015,240,218.86,2024-09-11,2024-09-14,2024-09-14,On Time
132,132,4,5,2.8,0.1,0.03,200,218.95,2024-08-29,2024-09-01,2024-09-03,On Time
133,133,3,12,4.8,0.24,0.07,260,320.14,2023-04-10,2023-04-15,2023-04-15,On Time
134,134,3,4,4.8,0.24,0.07,260,256.94,2024-09-04,2024-09-09,2024-09-15,Late
135,135,1,4,2.5,0.08,0.02,180,209.74,2025-05-21,2025-05-24,2025-05-24,On Time
136,136,6,14,2.2,0.06,0.015,240,299.71,2023-11-30,2023-12-03,2023-12-04,On Time
137,137,10,13,4.0,0.18,0.05,250,229.68,2024-10-22,2024-10-26,2024-10-28,On Time
138,138,9,4,3.0,0.09,0.025,190,184.83,2023-02-03,2023-02-06,2023-02-07,On Time
139,139,10,10,4.0,0.18,0.05,250,238.81,2024-01-16,2024-01-20,2024-01-22,On Time
140,140,4,11,2.8,0.1,0.03,200,190.63,2024-04-23,2024-04-26,2024-04-26,On Time
141,141,5,8,5.2,0.28,0.08,280,341.39,2025-12-13,2025-12-19,2025-12-19,On Time
142,142,8,14,6.0,0.32,0.09,300,366.97,2023-08-24,2023-08-30,2023-09-04,Late
143,143,1,5,2.5,0.08,0.02,180,179.77,2023-10-31,2023-11-03,2023-11-03,On Time
144,144,10,14,4.0,0.18,0.05,250,259.42,2024-03-23,2024-03-27,2024-03-29,On Time
145,145,4,14,2.8,0.1,0.03,200,201.0,2025-12-23,2025-12-26,2025-12-27,On Time
146,146,6,1,2.2,0.06,0.015,240,205.37,2025-07-24,2025-07-27,2025-07-28,On Time
147,147,8,8,6.0,0.32,0.09,300,306.54,2023-02-08,2023-02-14,2023-02-14,On Time
148,148,10,10,4.0,0.18,0.05,250,238.33,2023-09-14,2023-09-18,2023-09-20,On Time
149,149,8,3,6.0,0.32,0.09,300,284.77,2025-06-19,2025-06-25,2025-06-25,On Time
150,150,6,12,2.2,0.06,0.015,240,204.22,2023-03-05,2023-03-08,2023-03-10,On Time
151,151,2,2,3.2,0.12,0.03,220,266.36,2025-07-26,2025-07-30,2025-07-31,On Time
152,152,6,3,2.2,0.06,0.015,240,234.07,2023-11-05,2023-11-08,2023-11-08,On Time
153,153,8,2,6.0,0.32,0.09,300,372.94,2025-10-02,2025-10-08,2025-10-12,Late
154,154,3,6,4.8,0.24,0.07,260,302.31,2023-11-18,2023-11-23,2023-11-27,Late
155,155,1,7,2.5,0.08,0.02,180,220.0,2024-04-21,2024-04-24,2024-04-25,On Time
156,156,9,14,3.0,0.09,0.025,190,197.67,2024-12-26,2024-12-29,2024-12-29,On Time
157,157,4,9,2.8,0.1,0.03,200,217.19,2023-05-19,2023-05-22,2023-05-24,On Time
158,158,9,3,3.0,0.09,0.025,190,169.84,2024-09-02,2024-09-05,2024-09-05,On Time
159,159,10,7,4.0,0.18,0.05,250,264.57,2024-07-07,2024-07-11,2024-07-11,On Time
160,160,9,3,3.0,0.09,0.025,190,161.82,2025-05-09,2025-05-12,2025-05-14,On Time
161,161,9,5,3.0,0.09,0.025,190,165.8,2025-12-27,2025-12-30,2026-01-01,On Time
162,162,6,1,2.2,0.06,0.015,240,280.75,2024-12-29,2025-01-01,2025-01-02,On Time
163,163,10,15,4.0,0.18,0.05,250,219.16,2024-03-24,2024-03-28,2024-03-29,On Time
164,164,5,12,5.2,0.28,0.08,280,280.61,2024-03-21,2024-03-27,2024-03-29,On Time
165,165,9,8,3.0,0.09,0.025,190,204.71,2024-04-03,2024-04-06,2024-04-08,On Time
166,166,8,7,6.0,0.32,0.09,300,267.51,2025-06-11,2025-06-17,2025-06-17,On Time
167,167,9,6,3.0,0.09,0.025,190,236.56,2023-12-19,2023-12-22,2023-12-22,On Time
168,168,5,1,5.2,0.28,0.08,280,238.27,2023-07-03,2023-07-09,2023-07-13,Late
169,169,4,15,2.8,0.1,0.03,200,241.57,2024-01-02,2024-01-05,2024-01-07,On Time
170,170,10,11,4.0,0.18,0.05,250,217.29,2023-01-25,2023-01-29,2023-01-31,On Time
171,171,1,15,2.5,0.08,0.02,180,185.45,2023-04-27,2023-04-30,2023-05-01,On Time
172,172,4,5,2.8,0.1,0.03,200,192.12,2023-04-09,2023-04-12,2023-04-14,On Time
173,173,2,4,3.2,0.12,0.03,220,199.86,2025-04-25,2025-04-29,,Failed
174,174,2,7,3.2,0.12,0.03,220,245.89,2025-03-02,2025-03-06,2025-03-07,On Time
175,175,1,1,2.5,0.08,0.02,180,202.69,2025-02-02,2025-02-05,2025-02-05,On Time
176,176,2,14,3.2,0.12,0.03,220,260.02,2024-05-21,2024-05-25,2024-05-25,On Time
177,177,2,10,3.2,0.12,0.03,220,210.95,2025-02-24,2025-02-28,2025-03-02,On Time
178,178,7,3,3.5,0.14,0.04,210,257.03,2023-06-26,2023-06-30,2023-06-30,On Time
179,179,6,8,2.2,0.06,0.015,240,277.89,2025-09-14,2025-09-17,2025-09-19,On Time
180,180,9,5,3.0,0.09,0.025,190,221.35,2024-07-03,2024-07-06,2024-07-06,On Time
181,181,5,2,5.2,0.28,0.08,280,296.47,2025-10-25,2025-10-31,2025-11-01,On Time
182,182,9,3,3.0,0.09,0.025,190,211.27,2023-06-16,2023-06-19,2023-06-19,On Time
183,183,9,10,3.0,0.09,0.025,190,190.51,2024-06-29,2024-07-02,2024-07-02,On Time
184,184,7,13,3.5,0.14,0.04,210,209.62,2025-02-02,2025-02-06,2025-02-07,On Time
185,185,10,3,4.0,0.18,0.05,250,227.7,2024-06-27,2024-07-01,2024-07-03,On Time
186,186,7,11,3.5,0.14,0.04,210,251.32,2024-05-03,2024-05-07,2024-05-08,On Time
187,187,8,3,6.0,0.32,0.09,300,298.5,2023-07-02,2023-07-08,2023-07-15,Late
188,188,9,11,3.0,0.09,0.025,190,232.44,2024-02-22,2024-02-25,2024-02-27,On Time
189,189,1,14,2.5,0.08,0.02,180,174.31,2023-09-19,2023-09-22,2023-09-24,On Time
190,190,5,3,5.2,0.28,0.08,280,266.85,2023-11-27,2023-12-03,2023-12-06,Late
191,191,2,14,3.2,0.12,0.03,220,274.38,2025-01-19,2025-01-23,2025-01-23,On Time
192,192,9,10,3.0,0.09,0.025,190,197.5,2024-11-21,2024-11-24,2024-11-25,On Time
193,193,10,4,4.0,0.18,0.05,250,308.9,2024-10-27,2024-10-31,2024-11-01,On Time
194,194,2,1,3.2,0.12,0.03,220,196.78,2024-02-01,2024-02-05,2024-02-07,On Time
195,195,2,12,3.2,0.12,0.03,220,224.0,2025-11-17,2025-11-21,2025-11-22,On Time
196,196,7,2,3.5,0.14,0.04,210,260.44,2023-04-07,2023-04-11,2023-04-12,On Time
197,197,5,8,5.2,0.28,0.08,280,269.23,2024-01-11,2024-01-17,2024-01-23,Late
198,198,2,7,3.2,0.12,0.03,220,240.5,2023-05-10,2023-05-14,2023-05-14,On Time
199,199,1,10,2.5,0.08,0.02,180,217.44,2024-01-07,2024-01-10,2024-01-11,On Time
200,200,7,1,3.5,0.14,0.04,210,243.61,2025-11-20,2025-11-24,2025-11-25,On Time
201,201,10,3,4.0,0.18,0.05,250,271.29,2024-02-06,2024-02-10,2024-02-10,On Time
202,202,9,10,3.0,0.09,0.025,190,168.58,2025-09-22,2025-09-25,2025-09-26,On Time
203,203,3,3,4.8,0.24,0.07,260,265.25,2024-06-26,2024-07-01,2024-07-01,On Time
204,204,10,14,4.0,0.18,0.05,250,266.31,2025-02-05,2025-02-09,2025-02-09,On Time
205,205,4,2,2.8,0.1,0.03,200,227.11,2024-05-16,2024-05-19,2024-05-19,On Time
206,206,8,11,6.0,0.32,0.09,300,351.27,2023-10-19,2023-10-25,2023-10-30,Late
207,207,8,15,6.0,0.32,0.09,300,319.75,2025-04-17,2025-04-23,2025-04-23,On Time
208,208,2,10,3.2,0.12,0.03,220,213.49,2025-11-28,2025-12-02,2025-12-03,On Time
209,209,8,1,6.0,0.32,0.09,300,317.59,2023-10-16,2023-10-22,2023-10-24,On Time
210,210,6,11,2.2,0.06,0.015,240,267.18,2025-05-03,2025-05-06,2025-05-08,On Time
211,211,7,11,3.5,0.14,0.04,210,189.58,2023-10-14,2023-10-18,2023-10-19,On Time
212,212,7,11,3.5,0.14,0.04,210,182.78,2025-02-24,2025-02-28,2025-03-02,On Time
213,213,9,14,3.0,0.09,0.025,190,219.89,2025-05-14,2025-05-17,2025-05-17,On Time
214,214,6,12,2.2,0.06,0.015,240,205.6,2024-05-07,2024-05-10,2024-05-11,On Time
215,215,5,4,5.2,0.28,0.08,280,323.59,2025-03-18,2025-03-24,2025-03-29,Late
216,216,4,8,2.8,0.1,0.03,200,202.86,2023-10-26,2023-10-29,2023-10-30,On Time
217,217,2,4,3.2,0.12,0.03,220,251.25,2023-03-28,2023-04-01,2023-04-04,Late
218,218,2,9,3.2,0.12,0.03,220,191.33,2023-04-16,2023-04-20,2023-04-22,On Time
219,219,10,15,4.0,0.18,0.05,250,301.17,2024-05-04,2024-05-08,,Failed
220,220,6,9,2.2,0.06,0.015,240,256.64,2025-09-16,2025-09-19,2025-09-21,On Time
221,221,9,10,3.0,0.09,0.025,190,185.53,2023-05-20,2023-05-23,2023-05-25,On Time
222,222,5,3,5.2,0.28,0.08,280,242.23,2024-05-14,2024-05-20,2024-05-20,On Time
223,223,10,6,4.0,0.18,0.05,250,280.49,2025-02-10,2025-02-14,2025-02-16,On Time
224,224,10,1,4.0,0.18,0.05,250,235.51,2023-08-10,2023-08-14,2023-08-14,On Time
225,225,10,14,4.0,0.18,0.05,250,268.66,2025-03-01,2025-03-05,2025-03-11,Late
226,226,9,5,3.0,0.09,0.025,190,211.42,2023-12-02,2023-12-05,2023-12-06,On Time
227,227,3,2,4.8,0.24,0.07,260,323.04,2025-06-05,2025-06-10,2025-06-12,On Time
228,228,3,11,4.8,0.24,0.07,260,297.44,2024-09-26,2024-10-01,2024-10-02,On Time
229,229,5,10,5.2,0.28,0.08,280,306.13,2024-08-22,2024-08-28,2024-08-28,On Time
230,230,9,3,3.0,0.09,0.025,190,184.37,2023-07-13,2023-07-16,2023-07-18,On Time
231,231,3,7,4.8,0.24,0.07,260,293.06,2024-05-22,2024-05-27,2024-05-27,On Time
232,232,7,11,3.5,0.14,0.04,210,184.47,2025-07-27,2025-07-31,2025-08-02,On Time
233,233,3,5,4.8,0.24,0.07,260,237.75,2023-01-22,2023-01-27,2023-01-31,Late
234,234,8,3,6.0,0.32,0.09,300,256.99,2025-04-11,2025-04-17,2025-04-19,On Time
235,235,6,15,2.2,0.06,0.015,240,281.32,2024-06-24,2024-06-27,2024-06-29,On Time
236,236,10,12,4.0,0.18,0.05,250,231.51,2025-02-27,2025-03-03,2025-03-06,Late
237,237,3,2,4.8,0.24,0.07,260,296.68,2024-12-27,2025-01-01,2025-01-03,On Time
238,238,9,12,3.0,0.09,0.025,190,201.6,2024-04-18,2024-04-21,2024-04-26,Late
239,239,9,6,3.0,0.09,0.025,190,218.37,2023-12-05,2023-12-08,2023-12-14,Late
240,240,7,10,3.5,0.14,0.04,210,210.78,2024-11-18,2024-11-22,2024-11-24,On Time
241,241,6,3,2.2,0.06,0.015,240,207.77,2023-06-03,2023-06-06,2023-06-07,On Time
242,242,8,15,6.0,0.32,0.09,300,324.23,2024-10-02,2024-10-08,2024-10-14,Late
243,243,9,15,3.0,0.09,0.025,190,232.12,2023-04-14,2023-04-17,2023-04-18,On Time
244,244,7,14,3.5,0.14,0.04,210,261.04,2024-12-13,2024-12-17,2024-12-17,On Time
245,245,4,14,2.8,0.1,0.03,200,225.19,2024-11-20,2024-11-23,2024-11-24,On Time
246,246,8,10,6.0,0.32,0.09,300,336.39,2023-04-03,2023-04-09,2023-04-10,On Time
247,247,5,5,5.2,0.28,0.08,280,282.09,2025-04-10,2025-04-16,2025-04-17,On Time
248,248,2,8,3.2,0.12,0.03,220,233.26,2024-03-31,2024-04-04,2024-04-06,On Time
249,249,1,8,2.5,0.08,0.02,180,159.99,2025-05-12,2025-05-15,2025-05-16,On Time
250,250,8,2,6.0,0.32,0.09,300,318.33,2023-02-15,2023-02-21,2023-02-25,Late
251,251,1,7,2.5,0.08,0.02,180,180.1,2023-07-16,2023-07-19,2023-07-20,On Time
252,252,9,10,3.0,0.09,0.025,190,224.9,2024-06-25,2024-06-28,2024-06-28,On Time
253,253,6,15,2.2,0.06,0.015,240,251.96,2023-07-26,2023-07-29,2023-07-30,On Time
254,254,9,15,3.0,0.09,0.025,190,163.6,2023-12-28,2023-12-31,2023-12-31,On Time
255,255,10,15,4.0,0.18,0.05,250,268.66,2024-12-25,2024-12-29,2024-12-29,On Time
256,256,8,7,6.0,0.32,0.09,300,308.76,2023-06-08,2023-06-14,2023-06-17,Late
257,257,10,13,4.0,0.18,0.05,250,257.32,2025-01-12,2025-01-16,2025-01-17,On Time
258,258,8,2,6.0,0.32,0.09,300,286.29,2023-04-24,2023-04-30,2023-05-01,On Time
259,259,3,1,4.8,0.24,0.07,260,282.71,2023-07-12,2023-07-17,2023-07-17,On Time
260,260,10,3,4.0,0.18,0.05,250,220.95,2024-10-06,2024-10-10,2024-10-10,On Time
261,261,7,8,3.5,0.14,0.04,210,204.24,2025-05-19,2025-05-23,2025-05-24,On Time
262,262,10,2,4.0,0.18,0.05,250,241.53,2023-07-06,2023-07-10,2023-07-11,On Time
263,263,5,15,5.2,0.28,0.08,280,239.82,2023-11-25,2023-12-01,2023-12-08,Late
264,264,10,13,4.0,0.18,0.05,250,229.19,2025-10-10,2025-10-14,2025-10-15,On Time
265,265,1,8,2.5,0.08,0.02,180,223.67,2025-12-20,2025-12-23,2025-12-25,On Time
266,266,8,4,6.0,0.32,0.09,300,318.54,2024-09-28,2024-10-04,2024-10-04,On Time
267,267,3,9,4.8,0.24,0.07,260,223.38,2024-05-04,2024-05-09,2024-05-13,Late
268,268,5,9,5.2,0.28,0.08,280,243.0,2024-01-16,2024-01-22,2024-01-24,On Time
269,269,1,8,2.5,0.08,0.02,180,224.53,2024-11-02,2024-11-05,2024-11-05,On Time
270,270,1,13,2.5,0.08,0.02,180,204.91,2024-10-09,2024-10-12,2024-10-12,On Time
271,271,5,2,5.2,0.28,0.08,280,338.05,2023-11-20,2023-11-26,2023-11-28,On Time
272,272,5,5,5.2,0.28,0.08,280,342.26,2023-01-25,2023-01-31,2023-01-31,On Time
