PaymentID,OrderID,CustomerID,PaymentMethod,NetSales,PaymentStatus,PaymentAmount
48,48,13888,Card,13289.75,Completed,13289.75
49,49,491,Card,2237.81,Completed,2237.81
50,50,36500,Wallet,2469.9,Completed,2469.9
51,51,14631,Bank Transfer,52202.8,Completed,52202.8
52,52,44263,Bank Transfer,3346.32,Completed,3346.32
53,53,40359,Bank Transfer,8248.28,Completed,8248.28
54,54,44974,Card,11292.54,Completed,11292.54
55,55,34272,Wallet,28295.04,Completed,28295.04
56,56,38108,Wallet,1307.04,Completed,1307.04
57,57,45360,Card,10030.54,Completed,10030.54
58,58,19140,Card,43832.95,Completed,43832.95
59,59,4945,Card,16984.15,Completed,16984.15
60,60,13314,Card,24429.87,Completed,24429.87
61,61,17494,Cash on Delivery,1352.36,Pending Settlement,1352.36
62,62,27152,Wallet,19198.0,Completed,19198.0
63,63,30412,Cash on Delivery,40717.25,Pending Settlement,40717.25
64,64,31036,Card,17515.06,Completed,17515.06
65,65,21332,Bank Transfer,35289.42,Completed,35289.42
66,66,985,Bank Transfer,4276.05,Refunded,4276.05
67,67,23723,Wallet,1775.1,Completed,1775.1
68,68,16191,Card,31252.07,Completed,31252.07
69,69,16860,Cash on Delivery,8643.2,Pending Settlement,8643.2
70,70,18345,Bank Transfer,13107.38,Completed,13107.38
71,71,25962,Card,38718.630000000005,Completed,38718.630000000005
72,72,21242,Wallet,61104.63,Completed,61104.63
73,73,38922,Card,11252.68,Completed,11252.68
74,74,4766,Wallet,15099.150000000001,Completed,15099.150000000001
75,75,23211,Card,8072.5,Completed,8072.5
76,76,45695,Card,9203.24,Completed,9203.24
77,77,5573,Card,14992.439999999999,Completed,14992.439999999999
78,78,47163,Card,24510.300000000003,Completed,24510.300000000003
79,79,20788,Card,55390.25,Completed,55390.25
80,80,42820,Bank Transfer,13002.42,Completed,13002.42
81,81,41678,Bank Transfer,36413.36,Completed,36413.36
82,82,41884,Wallet,11528.54,Completed,11528.54
83,83,32234,Bank Transfer,7562.85,Completed,7562.85
84,84,6414,Wallet,44355.15,Completed,44355.15
85,85,28120,Cash on Delivery,8560.6,Pending Settlement,8560.6
86,86,40296,Card,22852.04,Completed,22852.04
87,87,38926,Wallet,25472.03,Completed,25472.03
88,88,17771,Bank Transfer,138465.14,Completed,138465.14
89,89,49392,Card,8392.31,Completed,8392.31
90,90,7940,Card,52946.82,Completed,52946.82
91,91,2636,Wallet,22917.11,Completed,22917.11
92,92,33443,Card,6413.52,Completed,6413.52
93,93,7402,Bank Transfer,7105.18,Completed,7105.18
94,94,39577,Card,30238.36,Completed,30238.36
95,95,46525,Card,6097.12,Completed,6097.12
96,96,12486,Card,3047.14,Completed,3047.14
97,97,33645,Cash on Delivery,2066.38,Pending Settlement,2066.38
98,98,9399,Bank Transfer,17517.010000000002,Completed,17517.010000000002
99,99,16936,Bank Transfer,10928.76,Completed,10928.76
100,100,6016,Card,69084.9,Completed,69084.9
101,101,39201,Bank Transfer,19187.920000000002,Completed,19187.920000000002
102,102,37459,Card,13241.05,Completed,13241.05
103,103,13135,Wallet,35089.130000000005,Completed,35089.130000000005
104,104,25644,Cash on Delivery,9917.7,Pending Settlement,9917.7
105,105,17994,Wallet,13507.689999999999,Completed,13507.689999999999
106,106,37542,Cash on Delivery,43087.71,Pending Settlement,43087.71
107,107,47656,Card,31883.23,Completed,31883.23
108,108,17770,Bank Transfer,8077.21,Completed,8077.21
109,109,38415,Card,18795.77,Completed,18795.77
110,110,22663,Card,22119.43,Completed,22119.43
111,111,6037,Cash on Delivery,12443.61,Pending Settlement,12443.61
112,112,1731,Cash on Delivery,1761.68,Pending Settlement,1761.68
113,113,18126,Wallet,29846.52,Completed,29846.52
114,114,28805,Bank Transfer,4937.47,Completed,4937.47
115,115,6975,Bank Transfer,2634.52,Completed,2634.52
116,116,33808,Wallet,27509.010000000002,Completed,27509.010000000002
117,117,21008,Wallet,4229.35,Completed,4229.35
118,118,46605,Wallet,19418.48,Completed,19418.48
119,119,2646,Card,2448.91,Completed,2448.91
120,120,47723,Card,21451.28,Completed,21451.28
121,121,24677,Wallet,44382.58,Completed,44382.58
122,122,12905,Bank Transfer,8638.6,Completed,8638.6
123,123,21643,Card,22145.91,Completed,22145.91
124,124,27101,Bank Transfer,30544.129999999997,Completed,30544.129999999997
125,125,13446,Wallet,2491.43,Completed,2491.43
126,126,31139,Bank Transfer,11416.220000000001,Completed,11416.220000000001
127,127,9054,Card,3594.21,Completed,3594.21
128,128,11113,Bank Transfer,13392.84,Completed,13392.84
129,129,49197,Card,4169.22,Completed,4169.22
130,130,9244,Wallet,15495.94,Completed,15495.94
131,131,33674,Card,12666.8,Completed,12666.8
132,132,9801,Card,21709.88,Completed,21709.88
133,133,25568,Bank Transfer,6736.9,Completed,6736.9
134,134,28059,Wallet,4656.0,Completed,4656.0
135,135,34995,Card,13853.58,Completed,13853.58
136,136,49121,Card,47344.2,Completed,47344.2
137,137,10296,Card,22115.809999999998,Completed,22115.809999999998
138,138,9313,Bank Transfer,9131.92,Completed,9131.92
139,139,4862,Bank Transfer,3814.0299999999997,Completed,3814.0299999999997
140,140,42475,Bank Transfer,37081.14,Completed,37081.14
141,141,41523,Card,20452.27,Completed,20452.27
142,142,494,Cash on Delivery,12764.04,Pending Settlement,12764.04
143,143,23536,Wallet,40462.57,Completed,40462.57
144,144,35692,Bank Transfer,24243.48,Completed,24243.48
145,145,7816,Wallet,30740.7,Completed,30740.7
146,146,22629,Card,2409.95,Completed,2409.95
147,147,32281,Card,15135.16,Completed,15135.16
148,148,811,Bank Transfer,33703.19,Completed,33703.19
149,149,43876,Wallet,70550.73999999999,Completed,70550.73999999999
150,150,46409,Wallet,1286.22,Completed,1286.22
151,151,741,Card,7161.1900000000005,Completed,7161.1900000000005
152,152,2396,Card,20763.12,Completed,20763.12
153,153,823,Wallet,3624.01,Completed,3624.01
154,154,15676,Cash on Delivery,28520.38,Pending Settlement,28520.38
155,155,23686,Wallet,10208.01,Completed,10208.01
156,156,1519,Bank Transfer,8771.76,Completed,8771.76
157,157,28627,Card,14950.45,Completed,14950.45
158,158,47951,Bank Transfer,20354.25,Completed,20354.25
159,159,41505,Card,4540.04,Completed,4540.04
160,160,32590,Card,31642.300000000003,Completed,31642.300000000003
161,161,32998,Card,2559.26,Completed,2559.26
162,162,6370,Wallet,5402.8,Completed,5402.8
163,163,2621,Cash on Delivery,4339.18,Pending Settlement,4339.18
164,164,34920,Card,26111.309999999998,Completed,26111.309999999998
165,165,18089,Bank Transfer,2526.67,Completed,2526.67
166,166,49024,Wallet,1329.3,Completed,1329.3
167,167,33749,Bank Transfer,27131.2,Completed,27131.2
168,168,25972,Cash on Delivery,70778.08,Pending Settlement,70778.08
169,169,25662,Bank Transfer,16679.129999999997,Completed,16679.129999999997
170,170,12991,Wallet,4764.28,Completed,4764.28
171,171,42146,Cash on Delivery,49003.259999999995,Pending Settlement,49003.259999999995
172,172,29133,Card,34711.45,Completed,34711.45
173,173,16514,Card,1091.72,Completed,1091.72
174,174,30803,Card,40116.6,Completed,40116.6
175,175,39530,Card,15886.21,Completed,15886.21
176,176,24265,Bank Transfer,62428.3,Completed,62428.3
177,177,16066,Bank Transfer,3486.61,Completed,3486.61
178,178,44348,Wallet,8607.25,Completed,8607.25
179,179,3767,Cash on Delivery,7986.41,Pending Settlement,7986.41
180,180,28995,Wallet,3898.52,Completed,3898.52
181,181,34608,Wallet,41831.4,Completed,41831.4
182,182,34541,Bank Transfer,37286.78,Completed,37286.78
183,183,32062,Wallet,8564.95,Completed,8564.95
184,184,35240,Wallet,5914.48,Refunded,5914.48
185,185,35854,Card,31375.68,Completed,31375.68
186,186,22006,Cash on Delivery,12710.869999999999,Pending Settlement,12710.869999999999
187,187,33578,Wallet,6787.14,Completed,6787.14
188,188,18708,Bank Transfer,7532.92,Completed,7532.92
189,189,18895,Card,26269.79,Completed,26269.79
190,190,35400,Cash on Delivery,84776.03,Pending Settlement,84776.03
191,191,42727,Card,19035.8,Completed,19035.8
192,192,7401,Wallet,2441.85,Completed,2441.85
193,193,18382,Bank Transfer,29163.82,Completed,29163.82
194,194,28285,Wallet,13251.2,Completed,13251.2
195,195,19467,Wallet,23708.04,Completed,23708.04
196,196,19189,Card,4492.92,Completed,4492.92
197,197,2708,Cash on Delivery,3143.28,Pending Settlement,3143.28
198,198,20568,Card,12944.49,Completed,12944.49
199,199,43844,Card,8584.79,Completed,8584.79
200,200,42226,Wallet,17918.48,Completed,17918.48
201,201,40068,Bank Transfer,25776.4,Completed,25776.4
202,202,9748,Bank Transfer,15105.17,Completed,15105.17
203,203,546,Card,44750.32,Completed,44750.32
204,204,17272,Card,34810.75,Completed,34810.75
205,205,12700,Card,1896.04,Completed,1896.04
206,206,29265,Card,3942.66,Completed,3942.66
207,207,34594,Card,28548.17,Completed,28548.17
208,208,15055,Card,5840.92,Completed,5840.92
209,209,11474,Card,34806.62,Completed,34806.62
210,210,46154,Card,18241.22,Completed,18241.22
211,211,4800,Card,7190.16,Completed,7190.16
212,212,25826,Bank Transfer,16697.19,Completed,16697.19
213,213,30652,Card,5751.39,Completed,5751.39
214,214,20464,Bank Transfer,34363.54,Completed,34363.54
215,215,17085,Card,7440.63,Completed,7440.63
216,216,32539,Card,16208.6,Completed,16208.6
217,217,25940,Wallet,22395.33,Refunded,22395.33
218,218,27494,Card,28625.46,Completed,28625.46
219,219,11292,Bank Transfer,8126.39,Completed,8126.39
220,220,11191,Wallet,1681.67,Refunded,1681.67
221,221,29730,Bank Transfer,18718.04,Completed,18718.04
222,222,14299,Cash on Delivery,2613.83,Pending Settlement,2613.83
223,223,8547,Card,30705.270000000004,Completed,30705.270000000004
224,224,46078,Card,12878.869999999999,Completed,12878.869999999999
225,225,14365,Bank Transfer,6887.57,Refunded,6887.57
226,226,24411,Bank Transfer,32997.56,Completed,32997.56
227,227,24403,Card,38326.69,Completed,38326.69
228,228,17460,Wallet,35054.259999999995,Completed,35054.259999999995
229,229,27288,Wallet,3780.51,Completed,3780.51
230,230,47472,Cash on Delivery,15947.89,Pending Settlement,15947.89
231,231,31091,Bank Transfer,9383.69,Completed,9383.69
232,232,30816,Card,8926.62,Completed,8926.62
233,233,24978,Card,8415.43,Completed,8415.43
234,234,34599,Bank Transfer,7383.56,Completed,7383.56
235,235,149,Card,20963.42,Completed,20963.42
236,236,13812,Card,14245.54,Completed,14245.54
237,237,509,Cash on Delivery,10298.970000000001,Pending Settlement,10298.970000000001
238,238,10038,Bank Transfer,20041.86,Completed,20041.86
239,239,7862,Card,5378.28,Completed,5378.28
240,240,22848,Bank Transfer,8878.07,Completed,8878.07
241,241,47578,Bank Transfer,53954.66,Completed,53954.66
242,242,20736,Card,26615.35,Completed,26615.35
243,243,39227,Bank Transfer,28649.31,Completed,28649.31
244,244,39419,Cash on Delivery,1459.32,Pending Settlement,1459.32
245,245,24943,Card,4631.43,Completed,4631.43
246,246,11178,Bank Transfer,10393.71,Completed,10393.71
247,247,15280,Bank Transfer,11579.61,Completed,11579.61
248,248,30074,Wallet,1778.94,Completed,1778.94
249,249,1699,Bank Transfer,173695.78999999998,Completed,173695.78999999998
250,250,22769,Cash on Delivery,28715.489999999998,Pending Settlement,28715.489999999998
251,251,24796,Wallet,5483.68,Completed,5483.68
252,252,36676,Wallet,11237.36,Completed,11237.36
253,253,43487,Card,7346.04,Completed,7346.04
254,254,47078,Bank Transfer,1773.81,Completed,1773.81
255,255,34379,Wallet,5713.46,Completed,5713.46
256,256,8536,Cash on Delivery,41671.64,Pending Settlement,41671.64
257,257,25439,Cash on Delivery,11541.4,Pending Settlement,11541.4
258,258,42516,Cash on Delivery,77754.04,Pending Settlement,77754.04
259,259,10671,Bank Transfer,25010.89,Completed,25010.89
260,260,40111,Card,8936.5,Completed,8936.5
261,261,1249,Bank Transfer,73796.61,Completed,73796.61
262,262,33741,Wallet,8871.01,Completed,8871.01
263,263,38507,Wallet,36494.88,Completed,36494.88
264,264,7517,Card,11643.1,Completed,11643.1
265,265,24371,Card,18387.65,Completed,18387.65
266,266,36948,Card,25054.07,Completed,25054.07
267,267,23405,Wallet,4039.19,Completed,4039.19
268,268,18952,Wallet,6095.78,Completed,6095.78
269,269,46745,Wallet,7990.63,Completed,7990.63
270,270,48495,Card,12948.09,Completed,12948.09
271,271,20649,Cash on Delivery,27580.76,Pending Settlement,27580.76
272,272,22007,Card,7057.06,Completed,7057.06
273,273,25896,Card,15403.1,Completed,15403.1
274,274,7603,Wallet,30226.53,Completed,30226.53
275,275,32938,Wallet,71792.86,Completed,71792.86
276,276,38428,Card,4131.22,Completed,4131.22
277,277,30665,Wallet,20456.82,Completed,20456.82
278,278,39175,Wallet,16631.97,Completed,16631.97
279,279,31373,Bank Transfer,35920.759999999995,Completed,35920.759999999995
280,280,21488,Card,5242.1,Completed,5242.1
281,281,14131,Cash on Delivery,11041.14,Pending Settlement,11041.14
282,282,40353,Card,23323.48,Completed,23323.48
283,283,34713,Cash on Delivery,9546.92,Pending Settlement,9546.92
284,284,31632,Cash on Delivery,37376.13,Pending Settlement,37376.13
285,285,8893,Card,15602.96,Completed,15602.96
286,286,33532,Bank Transfer,29328.109999999997,Completed,29328.109999999997
287,287,14572,Bank Transfer,32604.61,Completed,32604.61
288,288,18368,Card,11470.77,Completed,11470.77
289,289,49309,Bank Transfer,24778.440000000002,Completed,24778.440000000002
290,290,10754,Bank Transfer,80974.98999999999,Completed,80974.98999999999
291,291,42477,Bank Transfer,2293.0,Refunded,2293.0
292,292,6454,Cash on Delivery,12697.9,Pending Settlement,12697.9
293,293,5485,Bank Transfer,49432.58,Completed,49432.58
294,294,38052,Card,20792.33,Completed,20792.33
295,295,32926,Cash on Delivery,3394.6,Pending Settlement,3394.6
296,296,48335,Cash on Delivery,7102.45,Pending Settlement,7102.45
297,297,42548,Wallet,20456.04,Completed,20456.04
298,298,28677,Card,12552.87,Completed,12552.87
299,299,38407,Bank Transfer,20700.79,Completed,20700.79
300,300,22610,Card,3903.53,Completed,3903.53
301,301,3709,Card,2702.95,Completed,2702.95
302,302,1275,Cash on Delivery,39989.5,Pending Settlement,39989.5
303,303,13830,Card,23482.0,Completed,23482.0
304,304,45046,Bank Transfer,25074.76,Completed,25074.76
305,305,5597,Wallet,25196.27,Completed,25196.27
306,306,44923,Card,26397.35,Completed,26397.35
307,307,15596,Card,2749.2,Completed,2749.2
308,308,20719,Wallet,14356.89,Completed,14356.89
309,309,32110,Bank Transfer,3615.97,Completed,3615.97
310,310,36389,Bank Transfer,13572.91,Completed,13572.91
311,311,7665,Card,9970.55,Completed,9970.55
312,312,36767,Bank Transfer,14294.33,Completed,14294.33
313,313,38695,Wallet,9646.57,Completed,9646.57
314,314,4592,Wallet,2317.8,Completed,2317.8
315,315,43306,Cash on Delivery,3959.63,Pending Settlement,3959.63
316,316,27319,Card,47394.66,Completed,47394.66
317,317,34316,Bank Transfer,11550.72,Completed,11550.72
318,318,13612,Card,18735.75,Completed,18735.75
319,319,36476,Card,17823.38,Completed,17823.38
320,320,33640,Bank Transfer,25231.36,Refunded,25231.36
321,321,4250,Cash on Delivery,11309.970000000001,Pending Settlement,11309.970000000001
322,322,8689,Card,6947.719999999999,Completed,6947.719999999999
323,323,38209,Bank Transfer,29852.719999999998,Completed,29852.719999999998
324,324,37132,Cash on Delivery,32418.75,Pending Settlement,32418.75
325,325,12972,Card,40945.28,Completed,40945.28
326,326,23320,Cash on Delivery,4054.76,Pending Settlement,4054.76
327,327,37902,Card,5247.0599999999995,Completed,5247.0599999999995
328,328,40892,Card,44213.35999999999,Completed,44213.35999999999
329,329,9103,Wallet,23838.66,Completed,23838.66
330,330,39312,Card,15469.960000000001,Completed,15469.960000000001
331,331,21037,Wallet,4526.58,Completed,4526.58
332,332,34053,Wallet,6640.48,Completed,6640.48
333,333,3911,Bank Transfer,3154.38,Completed,3154.38
334,334,2033,Bank Transfer,15055.03,Completed,15055.03
335,335,19840,Card,9801.39,Completed,9801.39
336,336,38591,Wallet,16489.45,Completed,16489.45
337,337,37561,Bank Transfer,19757.92,Completed,19757.92
338,338,30531,Card,260873.71,Completed,260873.71
339,339,40146,Card,9858.63,Completed,9858.63
340,340,6550,Wallet,13647.95,Completed,13647.95
341,341,26020,Cash on Delivery,18511.0,Pending Settlement,18511.0
342,342,15859,Wallet,11988.48,Completed,11988.48
343,343,21521,Card,11998.46,Completed,11998.46
344,344,49852,Card,15695.65,Completed,15695.65
345,345,30273,Card,10525.28,Completed,10525.28
346,346,45100,Bank Transfer,43625.19,Completed,43625.19
347,347,49510,Wallet,93623.12,Completed,93623.12
348,348,15409,Card,50433.27,Completed,50433.27
349,349,35198,Cash on Delivery,16957.05,Pending Settlement,16957.05
350,350,24944,Wallet,38084.25,Completed,38084.25
351,351,23244,Card,19348.77,Completed,19348.77
352,352,2041,Card,25832.5,Completed,25832.5
353,353,28467,Card,2516.1,Completed,2516.1
354,354,49245,Bank Transfer,26321.700000000004,Completed,26321.700000000004
355,355,32249,Bank Transfer,9444.619999999999,Completed,9444.619999999999
356,356,48339,Card,15894.88,Completed,15894.88
357,357,10141,Bank Transfer,7019.66,Completed,7019.66
358,358,5765,Cash on Delivery,41501.92,Pending Settlement,41501.92
359,359,4788,Wallet,5698.27,Completed,5698.27
360,360,17243,Cash on Delivery,19491.36,Pending Settlement,19491.36
361,361,9212,Card,2103.38,Completed,2103.38
362,362,2993,Card,14581.099999999999,Completed,14581.099999999999
363,363,44854,Wallet,11637.740000000002,Completed,11637.740000000002
364,364,40444,Wallet,18408.27,Completed,18408.27
365,365,34726,Card,18657.96,Completed,18657.96
366,366,23229,Card,17586.1,Completed,17586.1
367,367,4924,Cash on Delivery,52801.18,Pending Settlement,52801.18
368,368,47367,Card,30089.45,Completed,30089.45
369,369,49451,Card,18185.56,Completed,18185.56
370,370,6985,Card,17247.059999999998,Completed,17247.059999999998
371,371,33276,Bank Transfer,2843.66,Completed,2843.66
372,372,3954,Bank Transfer,1574.03,Completed,1574.03
373,373,9557,Cash on Delivery,14507.279999999999,Pending Settlement,14507.279999999999
374,374,46349,Wallet,11165.28,Completed,11165.28
375,375,19072,Bank Transfer,20217.33,Completed,20217.33
376,376,46303,Cash on Delivery,1361.39,Pending Settlement,1361.39
377,377,34430,Card,51473.11,Completed,51473.11
378,378,42695,Cash on Delivery,6871.88,Pending Settlement,6871.88
379,379,2526,Card,74074.76,Completed,74074.76
380,380,13785,Card,3772.64,Completed,3772.64
381,381,13388,Card,16547.4,Completed,16547.4
382,382,49961,Card,12752.01,Completed,12752.01
383,383,29757,Card,23167.32,Completed,23167.32
384,384,6621,Card,14765.52,Completed,14765.52
385,385,42837,Cash on Delivery,43381.64,Pending Settlement,43381.64
386,386,22419,Bank Transfer,13706.68,Completed,13706.68
387,387,3333,Bank Transfer,12082.92,Completed,12082.92
388,388,16106,Wallet,27913.41,Completed,27913.41
389,389,47156,Bank Transfer,2312.53,Completed,2312.53
390,390,41645,Cash on Delivery,131936.65,Pending Settlement,131936.65
391,391,11997,Bank Transfer,2627.83,Completed,2627.83
392,392,38386,Cash on Delivery,18857.89,Pending Settlement,18857.89
393,393,47414,Card,8879.79,Completed,8879.79
394,394,22454,Bank Transfer,9624.5,Completed,9624.5
395,395,39216,Bank Transfer,34525.48,Completed,34525.48
396,396,29929,Card,35178.159999999996,Completed,35178.159999999996
397,397,42931,Wallet,29957.93,Completed,29957.93
398,398,44510,Card,11202.52,Completed,11202.52
399,399,14153,Card,26249.03,Completed,26249.03
400,400,4072,Wallet,19649.99,Completed,19649.99
401,401,44634,Bank Transfer,12398.86,Completed,12398.86
402,402,46489,Cash on Delivery,15513.51,Pending Settlement,15513.51
403,403,9266,Card,5079.74,Completed,5079.74
404,404,48400,Wallet,7674.23,Completed,7674.23
405,405,2813,Wallet,18072.99,Completed,18072.99
406,406,7750,Bank Transfer,17691.269999999997,Completed,17691.269999999997
407,407,28030,Cash on Delivery,7017.98,Pending Settlement,7017.98
408,408,41741,Wallet,37319.53,Completed,37319.53
409,409,49337,Wallet,19776.34,Completed,19776.34
410,410,6757,Bank Transfer,41341.0,Completed,41341.0
411,411,36227,Card,6052.57,Completed,6052.57
412,412,19372,Card,25624.190000000002,Completed,25624.190000000002
413,413,38633,Wallet,28067.57,Completed,28067.57
414,414,22695,Card,5430.18,Completed,5430.18
415,415,7239,Cash on Delivery,23323.73,Pending Settlement,23323.73
416,416,31720,Card,12277.32,Completed,12277.32
417,417,22809,Card,10382.6,Completed,10382.6
418,418,22504,Bank Transfer,7117.12,Completed,7117.12
419,419,26944,Bank Transfer,1341.04,Completed,1341.04
420,420,13242,Card,10233.08,Completed,10233.08
421,421,47344,Card,2936.17,Completed,2936.17
422,422,19635,Wallet,46194.0,Completed,46194.0
423,423,16406,Bank Transfer,16945.82,Completed,16945.82
424,424,39125,Card,2413.07,Completed,2413.07
425,425,41559,Wallet,27078.9,Completed,27078.9
426,426,5149,Wallet,15554.92,Completed,15554.92
427,427,2905,Card,4424.86,Completed,4424.86
428,428,24993,Bank Transfer,9525.05,Completed,9525.05
429,429,43474,Card,20878.16,Completed,20878.16
430,430,35462,Bank Transfer,7684.41,Completed,7684.41
431,431,33679,Card,16339.57,Completed,16339.57
432,432,731,Card,2022.95,Completed,2022.95
433,433,46167,Card,4558.64,Completed,4558.64
434,434,26167,Card,25195.730000000003,Completed,25195.730000000003
435,435,38649,Cash on Delivery,49847.91,Pending Settlement,49847.91
436,436,5918,Card,5430.62,Completed,5430.62
437,437,49051,Card,3547.62,Completed,3547.62
438,438,8398,Wallet,4385.91,Completed,4385.91
439,439,25197,Cash on Delivery,24127.16,Pending Settlement,24127.16
440,440,9569,Card,27514.219999999998,Completed,27514.219999999998
441,441,26157,Card,65022.75,Completed,65022.75
442,442,46057,Wallet,4905.77,Refunded,4905.77
443,443,2492,Card,37112.94,Completed,37112.94
444,444,16902,Wallet,14805.87,Completed,14805.87
445,445,20050,Card,29999.399999999998,Completed,29999.399999999998
446,446,42234,Cash on Delivery,4990.86,Pending Settlement,4990.86
447,447,4503,Card,7643.48,Completed,7643.48
448,448,49124,Wallet,1417.36,Completed,1417.36
449,449,45494,Bank Transfer,3039.0,Completed,3039.0
450,450,20110,Card,15536.970000000001,Completed,15536.970000000001
451,451,39167,Bank Transfer,43105.61,Completed,43105.61
452,452,45944,Wallet,31833.68,Completed,31833.68
453,453,16737,Wallet,2516.1,Completed,2516.1
454,454,41524,Card,26848.39,Completed,26848.39
455,455,29716,Bank Transfer,3926.28,Completed,3926.28
456,456,25900,Card,4491.1,Completed,4491.1
457,457,24394,Cash on Delivery,105088.81,Pending Settlement,105088.81
458,458,42375,Wallet,53604.27,Completed,53604.27
459,459,7790,Wallet,96219.64,Completed,96219.64
460,460,26669,Card,3973.3999999999996,Completed,3973.3999999999996
461,461,41137,Card,46809.69,Completed,46809.69
462,462,6596,Bank Transfer,21378.53,Completed,21378.53
463,463,36728,Card,4396.5599999999995,Completed,4396.5599999999995
464,464,49682,Card,27662.49,Completed,27662.49
465,465,6946,Wallet,10414.51,Completed,10414.51
466,466,13023,Card,16439.13,Completed,16439.13
467,467,31932,Card,7349.72,Completed,7349.72
468,468,40477,Card,16921.44,Completed,16921.44
469,469,20951,Card,17022.09,Completed,17022.09
470,470,918,Card,9348.11,Completed,9348.11
471,471,13492,Bank Transfer,13647.64,Completed,13647.64
472,472,5341,Wallet,2329.32,Completed,2329.32
473,473,44295,Card,2733.77,Completed,2733.77
474,474,22638,Card,6981.46,Completed,6981.46
475,475,39934,Wallet,4829.63,Completed,4829.63
476,476,34602,Bank Transfer,5355.41,Completed,5355.41
477,477,43010,Bank Transfer,21130.92,Completed,21130.92
478,478,24171,Card,13452.439999999999,Completed,13452.439999999999
479,479,32941,Bank Transfer,17723.64,Refunded,17723.64
480,480,32412,Bank Transfer,20590.68,Completed,20590.68
481,481,18100,Card,17249.02,Completed,17249.02
482,482,26176,Bank Transfer,2876.12,Completed,2876.12
483,483,37778,Cash on Delivery,3597.12,Pending Settlement,3597.12
484,484,19198,Card,17772.21,Completed,17772.21
485,485,47800,Cash on Delivery,41668.15,Pending Settlement,41668.15
486,486,42327,Card,15012.939999999999,Completed,15012.939999999999
487,487,22690,Bank Transfer,10576.349999999999,Completed,10576.349999999999
488,488,1835,Wallet,39717.49,Completed,39717.49
489,489,21441,Card,6378.58,Completed,6378.58
490,490,38373,Bank Transfer,3115.97,Completed,3115.97
491,491,13690,Cash on Delivery,5883.91,Pending Settlement,5883.91
492,492,38816,Card,4891.32,Completed,4891.32
493,493,43147,Card,15077.189999999999,Completed,15077.189999999999
494,494,14027,Wallet,17228.54,Completed,17228.54
495,495,3507,Wallet,24988.93,Completed,24988.93
496,496,2237,Bank Transfer,53932.619999999995,Completed,53932.619999999995
497,497,9474,Card,16733.48,Completed,16733.48
498,498,13881,Wallet,69459.74,Completed,69459.74
499,499,41803,Cash on Delivery,1419.14,Pending Settlement,1419.14
500,500,32774,Bank Transfer,4801.17,Completed,4801.17
